cell_line	findiv
1	108131
2	112542
3	161822
4	111611
5	25912
6	30451
7	122532
8	159081
9	108621
10	111512
11	107042
12	100092
13	NA
14	125142
15	110042
16	21612
17	109701
18	170882
19	26302
20	124091
21	111092
22	159011
23	30551
24	117581
25	24382
26	105022
27	121161
28	NA
29	105242
30	110971
31	111001
32	110232
33	107652
34	111261
35	105562
36	111821
37	110562
38	160612
39	29802
40	108711
41	116012
42	108171
43	107942
44	111121
45	160001
46	111451
47	157831
48	122552
49	161122
50	111661
51	161142
52	106632
53	108881
54	105092
55	109942
56	29352
57	106411
58	26002
59	107781
60	24152
61	118101
62	108082
63	106791
64	111011
65	106702
66	159321
67	111761
68	158471
69	110001
70	108001
71	122032
72	112572
73	168742
74	30881
75	121481
