p0	p1	p2	p3	p4	total	unknown
104823	2056671	4160619	958129	367073	9188660	1541345
24133	0	8507556	189622	68104	9188660	399245
42052	0	8201111	361407	141569	9188660	442521
35970	0	8302581	336859	86860	9188660	426390
25547	0	8463194	201701	93787	9188660	404431
51044	969213	6980968	407545	160286	9188660	619604
31479	772247	7649489	284528	80345	9188660	370572
11050	1151108	7763124	0	0	9188660	263378
56707	0	7606230	531308	158003	9188660	836412
27514	0	8504815	208894	97013	9188660	350424
17514	0	8661384	139078	46435	9188660	324249
39995	0	8279164	307228	136611	9188660	425662
68372	1465660	6157257	653134	184658	9188660	659579
53179	0	8021986	504376	168645	9188660	440474
995	0	8956501	0	0	9188660	231164
85471	1949862	4945852	778105	290236	9188660	1139134
39854	0	8269274	319250	146186	9188660	414096
40364	0	8254224	335907	137269	9188660	420896
81811	0	7520945	761822	254575	9188660	569507
35323	0	8323444	266930	140940	9188660	422023
71031	0	7100840	659710	207609	9188660	1149470
22165	0	8591728	156753	80510	9188660	337504
25967	0	8506674	208689	68521	9188660	378809
162046	2364868	6325878	0	0	9188660	335868
118561	192446	6479860	1132654	386734	9188660	878405
51492	0	8039753	431461	195704	9188660	470250
27414	0	8520794	244831	67524	9188660	328097
1252	0	8938375	0	0	9188660	249033
18620	0	8610551	161142	53533	9188660	344814
50970	0	8052787	414158	193064	9188660	477681
26508	0	8487555	196139	105223	9188660	373235
29150	0	8427926	262006	73468	9188660	396110
38578	1510589	6789661	330439	125811	9188660	393582
101225	0	8123337	380559	130443	9188660	453096
46136	0	8128442	418265	168332	9188660	427485
28246	2021570	6429656	236919	75111	9188660	397158
20634	0	8604467	151689	72443	9188660	339427
34182	0	8343762	293053	104730	9188660	412933
42245	867438	7313576	390972	110806	9188660	463623
35182	0	8319981	295380	120100	9188660	418017
21132	0	8562904	145757	84151	9188660	374716
73983	1080372	6066399	719660	199384	9188660	1048862
242111	278169	6623194	886388	389313	9188660	769485
30505	0	8407219	233667	113431	9188660	403838
761	0	8962971	0	0	9188660	224928
57248	0	7914968	480986	214390	9188660	521068
50620	3718513	5181167	0	0	9188660	238360
46343	0	8119418	392624	173048	9188660	457227
7406	959262	7970045	0	0	9188660	251947
22101	0	8578883	153863	88380	9188660	345433
20874	0	8591031	180918	48571	9188660	347266
23088	0	8566897	153999	97445	9188660	347231
59945	0	7903048	488196	255376	9188660	482095
64049	0	7612875	601177	204187	9188660	706372
61772	0	7855845	534160	221050	9188660	515833
94561	0	6806201	870817	273328	9188660	1143753
148079	1890084	3682981	1411229	455020	9188660	1601267
44747	0	8101763	394615	133563	9188660	513972
92167	0	7297453	860422	299788	9188660	638830
48285	0	8093786	423166	171671	9188660	451752
34041	0	8328821	270075	128469	9188660	427254
54554	0	7990499	420090	240227	9188660	483290
64997	0	7770157	579155	207874	9188660	566477
33597	0	8381461	262242	138566	9188660	372794
36577	0	8335185	303384	117407	9188660	396107
119391	1339776	5235478	1166448	347723	9188660	979844
143927	1189702	3820627	1356779	421107	9188660	2256518
80303	2023502	4899644	808820	226826	9188660	1149565
947	0	8940942	0	0	9188660	246771
69646	0	7755783	615452	230421	9188660	517358
28601	0	8441077	258715	65382	9188660	394885
43178	0	8195512	368719	131799	9188660	449452
51421	0	8068286	477496	155786	9188660	435671
29471	0	8456332	190475	129833	9188660	382549
48080	0	8102814	435591	149589	9188660	452586
41617	0	8213212	356487	136707	9188660	440637
48269	0	8119594	408719	170673	9188660	441405
22245	0	8563497	170415	79511	9188660	352992
31958	0	8409982	244185	117078	9188660	385457
40892	0	8198659	312600	186336	9188660	450173
250364	0	3127625	1913925	578856	9188660	3317890
4629	747809	8182498	0	0	9188660	253724
38390	906426	7362431	313674	135047	9188660	432692
112383	0	6102305	1092442	356151	9188660	1525379
78255	0	8316413	314106	88178	9188660	391708
56770	0	7945179	515873	157166	9188660	513672
1039	0	8955454	0	0	9188660	232167
55501	447306	7525251	496998	193316	9188660	470288
67024	0	7782146	590005	222964	9188660	526521
15989	0	8685447	120562	48370	9188660	318292
80946	0	7637607	701018	315789	9188660	453300
76889	0	7586334	733109	218603	9188660	573725
155129	0	4937520	1298593	470350	9188660	2327068
35180	0	8339606	282355	123739	9188660	407780
168651	0	5849815	1412974	412821	9188660	1344399
38660	0	8259059	351669	91019	9188660	448253
