cell_line	dbgap	flow_date	purity
c10	5732_4466	2015-03-21	80.6
c11	200c_414d	2015-03-21	76.1
c12	b4da_43cf	2015-03-21	78.2
c14	3eb0_4192	2015-08-05	74.2
c15	1795_42d6	2015-03-28	80.4
c17	919b_4d7c	2015-09-23	62.0
c18	93da_428e	2015-08-05	80.7
c19	6df6_4e8d	2015-03-24	78.7
c2	a4d0_4a31	2015-03-24	89.4
c21	0d48_468f	2015-03-11	73.2
c22	cfc4_4109	2015-08-22	65.5
c25	152e_4da2	2015-03-21	87.2
c26	9ae8_4091	2015-03-21	82.3
c27	b4a1_4f33	2015-09-23	47.5
c29	270c_4cf2	2015-03-17	77.6
c30	0f13_48d0	2015-08-08	68.8
c31	9c76_4ff6	2015-07-07	79.7
c32	2dbe_4bae	2015-09-15	40.9
c33	0aeb_4d5c	2015-08-11	70.8
c35	b7b7_4fe5	2015-08-05	69.8
c36	c6ce_4a49	2015-08-11	60.3
c37	22d8_45ca	2015-08-08	51.9
c38	993c_46f6	2015-08-28	61.4
c39	7f08_4e24	2015-03-07	86.7
c41	c190_4968	2015-02-26	72.3
c43	4714_4827	2015-07-07	86.1
c44	553e_453f	2015-08-14	70.3
c46	119a_474c	2015-07-12	55.5
c47	33cb_4c81	2015-03-11	73.9
c48	1cc5_4e7f	2015-03-24	78.1
c51	5eab_4bab	2015-07-14	51.8
c52	4632_4936	2015-05-02	86.2
c54	a1a7_4d9e	2015-07-07	81.0
c55	87ba_4baa	2015-07-07	77.1
c56	8482_4ab8	2015-08-14	74.5
c57	3e07_41cd	2015-09-14	82.1
c58	aa52_4672	2015-05-07	85.5
c60	d239_4144	2015-03-28	74.4
c62	7666_460f	2015-08-22	70.9
c63	3ed8_423c	2015-07-14	70.6
c64	6939_48c6	2015-02-27	44.2
c7	38d0_4ff9	2015-03-17	69.1
c70	e752_41c3	2015-03-11	76.3
c72	27d2_4974	2015-09-23	70.1
c73	8da2_44db	2015-07-12	79.0
