Sample	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
s203-c73.1-1.250-HCMJNBBXX-l5	553.66	15840872.0	50.0	12530967.0	79.11	49.84	2331094.0	2313064.0	2311050.0	15409.0	2132.0	2503.0	0.14	0.01	1.43	0.0	1.2	2736586.0	17.28	40618.0	0.26	0.0	3.27	0.09	0.0	0.0
s011-c60.1-0.000-HCMYYBBXX-l4	343.7	8401515.0	50.0	7305067.0	86.95	49.84	1326031.0	1317185.0	1313891.0	9401.0	1205.0	1534.0	0.12	0.0	1.48	0.0	1.24	1007175.0	11.99	14754.0	0.18	0.0	0.79	0.09	0.0	0.0
s029-c70.1-2.500-HCMYYBBXX-l5	336.09	10736077.0	50.0	8753553.0	81.53	49.87	1775913.0	1764853.0	1762774.0	10349.0	1298.0	1492.0	0.11	0.0	1.33	0.0	1.2	1857177.0	17.3	24734.0	0.23	0.0	0.87	0.07	0.0	0.0
s028-c70.1-1.250-HCMYYBBXX-l5	363.63	22929164.0	50.0	18393088.0	80.22	49.87	3651667.0	3627226.0	3625057.0	20864.0	2710.0	3036.0	0.11	0.0	1.35	0.0	1.2	4189278.0	18.27	62896.0	0.27	0.0	1.16	0.07	0.0	0.0
s217-c46.1-0.625-HCMJNBBXX-l5	224.43	12156669.0	50.0	8418806.0	69.25	49.83	1478895.0	1463940.0	1465581.0	10271.0	1242.0	1801.0	0.15	0.0	1.44	0.0	1.2	1954494.0	16.08	61422.0	0.51	0.0	14.05	0.11	0.0	0.0
s021-c21.1-0.000-HCMYYBBXX-l5	177.82	13385678.0	50.0	11549777.0	86.28	49.86	2056607.0	2041808.0	2037772.0	14767.0	1816.0	2252.0	0.12	0.0	1.41	0.0	1.21	1639332.0	12.25	23896.0	0.18	0.0	1.19	0.1	0.0	0.0
s121-c35-0.000-HCMJNBBXX-l3	105.73	14215085.0	50.0	11829962.0	83.22	49.88	2085842.0	2069043.0	2067154.0	14474.0	1903.0	2311.0	0.16	0.0	1.49	0.0	1.23	1673108.0	11.77	28845.0	0.2	0.0	4.68	0.13	0.0	0.0
s173-c55.1-1.250-HCN2JBBXX-l6	53.1	7227313.0	50.0	5466185.0	75.63	49.84	1066299.0	1058892.0	1058054.0	6385.0	882.0	978.0	0.13	0.0	1.38	0.0	1.21	1127397.0	15.6	16157.0	0.22	0.0	8.48	0.07	0.0	0.0
s164-c51-2.500-HCN2JBBXX-l6	243.26	7365469.0	50.0	5721018.0	77.67	49.82	1377718.0	1372480.0	1372203.0	3986.0	438.0	1091.0	0.13	0.0	1.45	0.0	1.27	1076237.0	14.61	14550.0	0.2	0.0	7.46	0.05	0.0	0.0
s191-c63.1-0.000-HCMJNBBXX-l4	411.49	10630210.0	50.0	9166761.0	86.23	49.87	1611729.0	1600874.0	1596846.0	11696.0	1421.0	1766.0	0.13	0.0	1.48	0.0	1.22	1188942.0	11.18	20357.0	0.19	0.0	2.28	0.11	0.0	0.0
s033-c39.1-1.250-HCMYYBBXX-l5	423.61	25887545.0	50.0	21230121.0	82.01	49.83	3567622.0	3530271.0	3534157.0	25413.0	3143.0	4909.0	0.13	0.0	1.37	0.0	1.23	4279357.0	16.53	61281.0	0.24	0.0	1.11	0.12	0.0	0.0
s207-c14-0.625-HCMJNBBXX-l5	91.69	10212959.0	50.0	6242802.0	61.13	49.82	1093305.0	1081441.0	1083878.0	7057.0	967.0	1403.0	0.15	0.01	1.39	0.0	1.19	2042021.0	19.99	27010.0	0.26	0.0	18.52	0.09	0.0	0.0
s022-c21.1-0.625-HCMYYBBXX-l5	112.38	11362951.0	50.0	9782037.0	86.09	49.86	1541091.0	1526154.0	1525857.0	11840.0	1429.0	1965.0	0.12	0.0	1.4	0.01	1.22	1438820.0	12.66	23808.0	0.21	0.0	0.89	0.15	0.0	0.0
s015-c60.1-5.000-HCMYYBBXX-l4	353.3	17076338.0	50.0	13575144.0	79.5	49.88	2818596.0	2801827.0	2795814.0	17829.0	2072.0	2881.0	0.11	0.0	1.35	0.0	1.26	3303552.0	19.35	42284.0	0.25	0.0	0.84	0.07	0.0	0.0
s005-c64-5.000-HCMYYBBXX-l4	214.15	18143344.0	50.0	14376702.0	79.24	49.88	2495764.0	2481440.0	2477010.0	14137.0	2308.0	2309.0	0.11	0.01	1.49	0.01	1.21	3295980.0	18.17	58148.0	0.32	0.0	2.19	0.08	0.0	0.0
undetermined-HCN2JBBXX-l6	232.76	5431059.0	50.0	1872092.0	34.47	49.66	361615.0	357919.0	359119.0	1761.0	226.0	509.0	0.2	0.01	1.36	0.0	1.22	345239.0	6.36	6094.0	0.11	0.0	55.6	3.46	0.0	0.0
s170-c54.1-5.000-HCN2JBBXX-l6	79.53	4484329.0	50.0	3097586.0	69.08	49.83	620589.0	616752.0	616915.0	2805.0	430.0	439.0	0.12	0.0	1.32	0.0	1.2	863089.0	19.25	12000.0	0.27	0.0	11.35	0.06	0.0	0.0
s014-c60.1-2.500-HCMYYBBXX-l4	121.73	3956180.0	50.0	3176027.0	80.28	49.86	645840.0	642006.0	640660.0	4054.0	438.0	688.0	0.12	0.01	1.38	0.0	1.24	742561.0	18.77	9851.0	0.25	0.0	0.64	0.06	0.0	0.0
s206-c14-0.000-HCMJNBBXX-l5	359.11	16359462.0	50.0	12928418.0	79.03	49.84	2287364.0	2271681.0	2266841.0	15989.0	2236.0	2298.0	0.13	0.0	1.44	0.0	1.2	2174499.0	13.29	32088.0	0.2	0.0	7.38	0.1	0.0	0.0
s012-c60.1-0.625-HCMYYBBXX-l4	88.08	1565917.0	50.0	1349820.0	86.2	49.86	223639.0	221543.0	221571.0	1600.0	193.0	275.0	0.12	0.0	1.45	0.0	1.23	193837.0	12.38	3258.0	0.21	0.0	1.08	0.13	0.0	0.0
undetermined-HCMJNBBXX-l3	227.47	5939570.0	50.0	1743559.0	29.35	49.7	310414.0	307113.0	307641.0	1949.0	244.0	580.0	0.24	0.0	1.39	0.0	1.21	370501.0	6.24	6417.0	0.11	0.0	62.19	2.11	0.0	0.0
undetermined-HCMJNBBXX-l4	236.5	6306759.0	50.0	1578572.0	25.03	49.73	280323.0	277412.0	277832.0	1780.0	262.0	449.0	0.24	0.01	1.29	0.0	1.21	339407.0	5.38	5831.0	0.09	0.0	67.34	2.16	0.0	0.0
s142-c43.1-0.625-HCN2JBBXX-l5	299.26	15710936.0	50.0	13505481.0	85.96	49.86	2095564.0	2075843.0	2074456.0	16581.0	1872.0	2655.0	0.12	0.01	1.43	0.0	1.24	1759883.0	11.2	35580.0	0.23	0.0	2.43	0.18	0.0	0.0
s130-c36-5.000-HCMJNBBXX-l3	101.7	12995442.0	50.0	7401755.0	56.96	49.84	1465555.0	1456495.0	1454706.0	8252.0	1332.0	1265.0	0.17	0.0	1.38	0.0	1.2	2119174.0	16.31	28791.0	0.22	0.0	26.46	0.05	0.0	0.0
s025-c21.1-5.000-HCMYYBBXX-l5	335.71	22193985.0	50.0	17335903.0	78.11	49.88	3327350.0	3305648.0	3299835.0	21637.0	2644.0	3234.0	0.12	0.0	1.31	0.0	1.2	4619346.0	20.81	56535.0	0.25	0.0	0.74	0.08	0.0	0.0
s010-c41-5.000-HCMYYBBXX-l4	392.11	16555830.0	50.0	13181207.0	79.62	49.87	2700604.0	2685211.0	2680131.0	15900.0	2347.0	2226.0	0.12	0.0	1.44	0.0	1.2	3201469.0	19.34	47123.0	0.28	0.0	0.69	0.07	0.0	0.0
s001-c64-0.000-HCMYYBBXX-l4	657.18	15334098.0	50.0	13311857.0	86.81	49.86	2388147.0	2372363.0	2369297.0	14658.0	2099.0	2093.0	0.12	0.0	1.5	0.01	1.22	1803845.0	11.76	31635.0	0.21	0.0	1.1	0.12	0.0	0.0
s004-c64-2.500-HCMYYBBXX-l4	262.77	25693443.0	50.0	20607793.0	80.21	49.88	4199451.0	4175568.0	4170266.0	22610.0	3315.0	3260.0	0.12	0.0	1.41	0.0	1.2	4596864.0	17.89	69854.0	0.27	0.0	1.56	0.07	0.0	0.0
s227-c58.2-0.625-HCMJNBBXX-l6	599.41	38961633.0	50.0	33160902.0	85.11	49.82	5526998.0	5473405.0	5471721.0	43009.0	4863.0	7405.0	0.13	0.0	1.38	0.0	1.23	4630715.0	11.89	73982.0	0.19	0.0	2.69	0.13	0.0	0.0
s031-c39.1-0.000-HCMYYBBXX-l5	197.23	14847331.0	50.0	12830101.0	86.41	49.89	2322901.0	2306974.0	2300764.0	17777.0	2059.0	2301.0	0.1	0.0	1.41	0.0	1.25	1877285.0	12.64	27030.0	0.18	0.0	0.66	0.1	0.0	0.0
s009-c41-2.500-HCMYYBBXX-l4	234.3	16856784.0	50.0	13091242.0	77.66	49.86	2666980.0	2651730.0	2647660.0	14990.0	2177.0	2153.0	0.12	0.0	1.43	0.0	1.19	3386492.0	20.09	44627.0	0.26	0.0	1.92	0.06	0.0	0.0
s018-c47.1-1.250-HCMYYBBXX-l4	228.74	23064693.0	50.0	18728092.0	81.2	49.87	3656747.0	3625399.0	3626415.0	23814.0	2711.0	3807.0	0.12	0.0	1.37	0.0	1.2	3863635.0	16.75	94213.0	0.41	0.0	1.53	0.11	0.0	0.0
s178-c56-1.250-HCN2JBBXX-l6	224.34	5795497.0	50.0	4474313.0	77.2	49.83	861908.0	856177.0	855011.0	5219.0	795.0	883.0	0.13	0.0	1.38	0.0	1.2	1045724.0	18.04	15259.0	0.26	0.0	4.41	0.08	0.0	0.0
s030-c70.1-5.000-HCMYYBBXX-l5	266.84	4891990.0	50.0	3976028.0	81.28	49.87	820481.0	815686.0	814436.0	4769.0	635.0	641.0	0.11	0.0	1.35	0.0	1.19	862460.0	17.63	12125.0	0.25	0.0	0.78	0.07	0.0	0.0
s181-c57-0.000-HCMJNBBXX-l4	640.14	22404807.0	50.0	18872703.0	84.24	49.86	3341513.0	3318879.0	3311575.0	23305.0	3417.0	3216.0	0.13	0.0	1.41	0.0	1.21	2601323.0	11.61	46584.0	0.21	0.0	3.83	0.11	0.0	0.0
s008-c41-1.250-HCMYYBBXX-l4	224.57	11602893.0	50.0	9583893.0	82.6	49.87	1901162.0	1888032.0	1886536.0	11180.0	1684.0	1762.0	0.11	0.0	1.45	0.0	1.21	1704687.0	14.69	28192.0	0.24	0.0	2.37	0.09	0.0	0.0
s013-c60.1-1.250-HCMYYBBXX-l4	52.88	1630609.0	50.0	1332957.0	81.75	49.83	236122.0	233726.0	233956.0	1658.0	185.0	323.0	0.13	0.0	1.41	0.0	1.24	271384.0	16.64	3939.0	0.24	0.0	1.26	0.11	0.0	0.0
s226-c58.2-0.000-HCMJNBBXX-l6	636.8	58550070.0	50.0	50422846.0	86.12	49.83	9062827.0	8997223.0	8973225.0	71341.0	7667.0	10594.0	0.12	0.0	1.42	0.0	1.21	6979327.0	11.92	108555.0	0.19	0.0	1.67	0.11	0.0	0.0
s019-c47.1-2.500-HCMYYBBXX-l4	317.81	36724185.0	50.0	29659866.0	80.76	49.85	6215710.0	6173968.0	6165773.0	39530.0	4570.0	5837.0	0.12	0.0	1.36	0.0	1.19	6727385.0	18.32	88787.0	0.24	0.0	0.61	0.07	0.0	0.0
undetermined-HCN2JBBXX-l5	228.92	5723116.0	50.0	1646407.0	28.77	49.69	292606.0	289513.0	289872.0	1929.0	275.0	530.0	0.2	0.01	1.28	0.0	1.2	308377.0	5.39	5598.0	0.1	0.0	62.72	3.03	0.0	0.0
s020-c47.1-5.000-HCMYYBBXX-l4	218.48	19056414.0	50.0	15485867.0	81.26	49.86	3279730.0	3258044.0	3253485.0	21061.0	2282.0	2902.0	0.12	0.0	1.35	0.0	1.18	3335037.0	17.5	46278.0	0.24	0.0	0.92	0.08	0.0	0.0
s175-c55.1-5.000-HCN2JBBXX-l6	126.2	5153370.0	50.0	3673558.0	71.28	49.83	745221.0	740542.0	739536.0	4412.0	609.0	664.0	0.12	0.0	1.35	0.0	1.19	836986.0	16.24	11210.0	0.22	0.0	12.2	0.06	0.0	0.0
s189-c62-2.500-HCMJNBBXX-l4	123.77	19047150.0	50.0	14687950.0	77.11	49.86	3003530.0	2986563.0	2981940.0	16798.0	2281.0	2511.0	0.14	0.0	1.35	0.0	1.2	2896921.0	15.21	44382.0	0.23	0.0	7.38	0.06	0.0	0.0
s169-c54.1-2.500-HCN2JBBXX-l6	141.17	6195629.0	50.0	4583593.0	73.98	49.83	937283.0	931622.0	930202.0	5515.0	774.0	792.0	0.13	0.0	1.36	0.0	1.19	1144334.0	18.47	14253.0	0.23	0.0	7.25	0.07	0.0	0.0
s007-c41-0.625-HCMYYBBXX-l4	236.05	13769377.0	50.0	11833405.0	85.94	49.89	1994440.0	1976426.0	1976092.0	14320.0	1772.0	2256.0	0.11	0.0	1.48	0.0	1.25	1661281.0	12.07	32643.0	0.24	0.0	1.6	0.16	0.0	0.0
s026-c70.1-0.000-HCMYYBBXX-l5	298.82	32288654.0	50.0	28229536.0	87.43	49.86	5031569.0	4995041.0	4986221.0	35975.0	4259.0	5114.0	0.11	0.0	1.45	0.01	1.22	3740918.0	11.59	62546.0	0.19	0.0	0.68	0.12	0.0	0.0
undetermined-HCMJNBBXX-l6	290.49	7100958.0	50.0	1908104.0	26.87	49.64	341706.0	338210.0	338508.0	2342.0	249.0	607.0	0.19	0.01	1.29	0.0	1.21	352971.0	4.97	5529.0	0.08	0.0	66.01	2.07	0.0	0.0
