Sample	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
s145-c43.1-5.000-HFJTMBBXX-l3	166.08	12317800.0	50.0	9544754.0	77.49	49.84	1887596.0	1875136.0	1873129.0	11332.0	1385.0	1750.0	0.14	0.01	1.34	0.0	1.2	2110730.0	17.14	30580.0	0.25	0.0	5.04	0.09	0.0	0.0
s193-c63.1-1.250-HFJTMBBXX-l4	74.24	17281885.0	50.0	13854681.0	80.17	49.84	2462438.0	2438279.0	2441652.0	16023.0	1856.0	2907.0	0.13	0.0	1.42	0.0	1.22	2637719.0	15.26	53280.0	0.31	0.0	4.14	0.12	0.0	0.0
s203-c73.1-1.250-HCMJNBBXX-l5	80.55	15840872.0	50.0	12530967.0	79.11	49.84	2331094.0	2313064.0	2311050.0	15409.0	2132.0	2503.0	0.14	0.01	1.43	0.0	1.2	2736586.0	17.28	40618.0	0.26	0.0	3.27	0.09	0.0	0.0
s137-c38-0.625-HFJTMBBXX-l2	235.82	39630245.0	50.0	31170860.0	78.65	49.84	5369341.0	5319405.0	5322771.0	35818.0	4755.0	5997.0	0.12	0.0	1.4	0.0	1.21	6102388.0	15.4	100917.0	0.25	0.0	5.57	0.12	0.0	0.0
s165-c51-5.000-HCN2JBBXX-l6	9.61	5200973.0	50.0	4072699.0	78.31	49.82	993987.0	990576.0	990129.0	2789.0	313.0	756.0	0.13	0.0	1.45	0.0	1.29	832500.0	16.01	10703.0	0.21	0.0	5.43	0.05	0.0	0.0
s082-c17.1-0.625-HFJYFBBXX-l2	416.1	15950515.0	50.0	7535703.0	47.24	49.9	1405579.0	1391237.0	1394169.0	8915.0	1132.0	1363.0	0.11	0.0	1.29	0.0	1.24	3162790.0	19.83	56969.0	0.36	0.0	32.49	0.08	0.0	0.0
s151-c45-0.000-HFJTMBBXX-l3	286.55	13292759.0	50.0	11362456.0	85.48	49.83	1995660.0	1982234.0	1978812.0	12936.0	1822.0	2090.0	0.12	0.0	1.44	0.0	1.21	1566210.0	11.78	25890.0	0.19	0.0	2.43	0.11	0.0	0.0
s035-c39.1-5.000-HCHFWBBXX-l3	122.43	19554818.0	50.0	15425844.0	78.89	49.84	3108717.0	3089244.0	3082694.0	20603.0	2401.0	3019.0	0.16	0.0	1.36	0.0	1.21	3880963.0	19.85	44544.0	0.23	0.0	0.98	0.07	0.0	0.0
s074-c11.1-2.500-HCHFWBBXX-l5	123.22	13965412.0	50.0	42225.0	0.3	49.72	7494.0	7412.0	7405.0	69.0	11.0	9.0	0.23	0.01	1.38	0.0	1.12	56432.0	0.4	635.0	0.0	0.0	99.29	0.0	0.0	0.0
s154-c45-2.500-HFJTMBBXX-l3	115.01	19488541.0	50.0	14739069.0	75.63	49.83	2833290.0	2816003.0	2813164.0	15466.0	2242.0	2418.0	0.13	0.0	1.32	0.0	1.19	3462077.0	17.76	48165.0	0.25	0.0	6.29	0.07	0.0	0.0
s084-c17.1-2.500-HFJYFBBXX-l2	176.79	18022728.0	50.0	6518072.0	36.17	49.9	1419990.0	1408023.0	1409358.0	8348.0	1147.0	1137.0	0.11	0.0	1.22	0.0	1.28	2737968.0	15.19	28403.0	0.16	0.0	48.45	0.04	0.0	0.0
s060-c32-5.000-HCHFWBBXX-l4	46.97	4501066.0	50.0	3080788.0	68.45	49.88	731528.0	727567.0	726541.0	4044.0	489.0	454.0	0.12	0.0	1.47	0.0	1.32	911263.0	20.25	10644.0	0.24	0.0	11.02	0.05	0.0	0.0
