id	sample	cell_line	dbgap	dosage	cell_line_norep	experiment	troponin	mismatch
s001-c64-0.000	s001	c64	6939_48c6	0	c64	cTnI_ELISA_8-12-15.xlsx.sheet.1	1.4135886187875	FALSE
s002-c64-0.625	s002	c64	6939_48c6	0.625	c64	cTnI_ELISA_8-12-15.xlsx.sheet.1	1.43261020141082	FALSE
s003-c64-1.250	s003	c64	6939_48c6	1.25	c64	cTnI_ELISA_8-12-15.xlsx.sheet.1	1.45145646923854	FALSE
s004-c64-2.500	s004	c64	6939_48c6	2.5	c64	cTnI_ELISA_8-12-15.xlsx.sheet.1	1.43252254401302	FALSE
s005-c64-5.000	s005	c64	6939_48c6	5	c64	cTnI_ELISA_8-12-15.xlsx.sheet.1	1.43252254401302	FALSE
s006-c41-0.000	s006	c41	c190_4968	0	c41	cTnI_ELISA_8-12-15.xlsx.sheet.1	1.75492521723364	FALSE
s007-c41-0.625	s007	c41	c190_4968	0.625	c41	cTnI_ELISA_8-12-15.xlsx.sheet.1	1.86896705557576	FALSE
s008-c41-1.250	s008	c41	c190_4968	1.25	c41	cTnI_ELISA_8-12-15.xlsx.sheet.1	2.57127543687597	FALSE
s009-c41-2.500	s009	c41	c190_4968	2.5	c41	cTnI_ELISA_8-12-15.xlsx.sheet.1	2.47625518115718	FALSE
s010-c41-5.000	s010	c41	c190_4968	5	c41	cTnI_ELISA_8-12-15.xlsx.sheet.1	2.43829967330834	FALSE
s011-c60.1-0.000	s011	c60.1	d239_4144	0	c60	cTnI_ELISA_11-5-15.xlsx.sheet.1	2.71187764131251	FALSE
s012-c60.1-0.625	s012	c60.1	d239_4144	0.625	c60	cTnI_ELISA_11-5-15.xlsx.sheet.1	2.93259385875933	FALSE
s013-c60.1-1.250	s013	c60.1	d239_4144	1.25	c60	cTnI_ELISA_11-5-15.xlsx.sheet.1	3.33717234435133	FALSE
s014-c60.1-2.500	s014	c60.1	d239_4144	2.5	c60	cTnI_ELISA_11-5-15.xlsx.sheet.1	5.54433451881954	FALSE
s015-c60.1-5.000	s015	c60.1	d239_4144	5	c60	cTnI_ELISA_11-5-15.xlsx.sheet.1	4.51432550406771	FALSE
s016-c47.1-0.000	s016	c47.1	33cb_4c81	0	c47	cTnI_ELISA_8-12-15.xlsx.sheet.1	3.55794332615017	FALSE
s017-c47.1-0.625	s017	c47.1	33cb_4c81	0.625	c47	cTnI_ELISA_8-12-15.xlsx.sheet.1	4.24114246742926	FALSE
s018-c47.1-1.250	s018	c47.1	33cb_4c81	1.25	c47	cTnI_ELISA_8-12-15.xlsx.sheet.1	5.39882928551774	FALSE
s019-c47.1-2.500	s019	c47.1	33cb_4c81	2.5	c47	cTnI_ELISA_8-12-15.xlsx.sheet.1	5.28496276197122	FALSE
s020-c47.1-5.000	s020	c47.1	33cb_4c81	5	c47	cTnI_ELISA_8-12-15.xlsx.sheet.1	6.04407291894799	FALSE
s021-c21.1-0.000	s021	c21.1	0d48_468f	0	c21	cTnI_ELISA_8-12-15.xlsx.sheet.1	1.94496572867124	FALSE
s022-c21.1-0.625	s022	c21.1	0d48_468f	0.625	c21	cTnI_ELISA_8-12-15.xlsx.sheet.1	1.94496572867124	FALSE
s023-c21.1-1.250	s023	c21.1	0d48_468f	1.25	c21	cTnI_ELISA_8-12-15.xlsx.sheet.1	2.77989924394788	FALSE
s024-c21.1-2.500	s024	c21.1	0d48_468f	2.5	c21	cTnI_ELISA_8-12-15.xlsx.sheet.1	4.14629752650607	FALSE
s025-c21.1-5.000	s025	c21.1	0d48_468f	5	c21	cTnI_ELISA_8-12-15.xlsx.sheet.1	3.50105389307581	FALSE
s026-c70.1-0.000	s026	c70.1	e752_41c3	0	c70	cTnI_ELISA_8-12-15.xlsx.sheet.1	2.91278735011772	FALSE
s027-c70.1-0.625	s027	c70.1	e752_41c3	0.625	c70	cTnI_ELISA_8-12-15.xlsx.sheet.1	2.7989208265712	FALSE
s028-c70.1-1.250	s028	c70.1	e752_41c3	1.25	c70	cTnI_ELISA_8-12-15.xlsx.sheet.1	4.03243100295955	FALSE
s029-c70.1-2.500	s029	c70.1	e752_41c3	2.5	c70	cTnI_ELISA_8-12-15.xlsx.sheet.1	4.31740411271814	FALSE
s030-c70.1-5.000	s030	c70.1	e752_41c3	5	c70	cTnI_ELISA_8-12-15.xlsx.sheet.1	3.04558779888975	FALSE
s031-c39.1-0.000	s031	c39.1	7f08_4e24	0	c39	cTnI_ELISA_8-12-15.xlsx.sheet.1	1.67927717372937	FALSE
s032-c39.1-0.625	s032	c39.1	7f08_4e24	0.625	c39	cTnI_ELISA_8-12-15.xlsx.sheet.1	1.75510053202925	FALSE
s033-c39.1-1.250	s033	c39.1	7f08_4e24	1.25	c39	cTnI_ELISA_8-12-15.xlsx.sheet.1	2.51421068900602	FALSE
s034-c39.1-2.500	s034	c39.1	7f08_4e24	2.5	c39	cTnI_ELISA_8-12-15.xlsx.sheet.1	3.53900940092465	FALSE
s035-c39.1-5.000	s035	c39.1	7f08_4e24	5	c39	cTnI_ELISA_8-12-15.xlsx.sheet.1	3.50105389307581	FALSE
