experiment	row	column	absorbance	reading	name	type	cell_line	dosage	known_conc
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	1	1.075	1	75ng/mL	standard	cNA	NA	75
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	1	0.41799999999999998	1	30ng/mL	standard	cNA	NA	30
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	1	0.105	1	7.5ng/mL	standard	cNA	NA	7.5
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	1	6.5000000000000002E-2	1	2.0ng/mL	standard	cNA	NA	2.0
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	1	5.8000000000000003E-2	1	0ng/mL	standard	cNA	NA	0
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	1	5.0999999999999997E-2	1	galactose	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	1	0.05	1	galactose	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	1	5.2999999999999999E-2	1	water	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	2	0.98299999999999998	1	75ng/mL	standard	cNA	NA	75
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	2	0.41699999999999998	1	30ng/mL	standard	cNA	NA	30
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	2	9.8000000000000004E-2	1	7.5ng/mL	standard	cNA	NA	7.5
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	2	6.9000000000000006E-2	1	2.0ng/mL	standard	cNA	NA	2.0
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	2	5.3999999999999999E-2	1	0ng/mL	standard	cNA	NA	0
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	2	0.05	1	galactose	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	2	0.05	1	galactose	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	2	5.1999999999999998E-2	1	water	control	cNA	NA	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	3	5.7000000000000002E-2	1	21-1 control	unknown	c21.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	3	5.8000000000000003E-2	1	21-1 0.625	unknown	c21.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	3	6.8000000000000005E-2	1	21-1 1.25	unknown	c21.1	1.25	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	D	3	8.8999999999999996E-2	1	21-1 2.5	unknown	c21.1	2.5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	E	3	8.2000000000000003E-2	1	21-1 5	unknown	c21.1	5	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	F	3	5.3999999999999999E-2	1	41-1 control	unknown	c41.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	G	3	5.0999999999999997E-2	1	64-1 control	unknown	c64.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	H	3	5.3999999999999999E-2	1	39-1 control	unknown	c39.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	A	4	5.7000000000000002E-2	1	21-1 control	unknown	c21.1	C	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	B	4	5.6000000000000001E-2	1	21-1 0.625	unknown	c21.1	0.625	NA
cTnI_ELISA_8-12-15.xlsx.sheet.1	C	4	6.9000000000000006E-2	1	21-1 1.25	unknown	c21.1	1.25	NA
