gene	hugo	beta
ENSG00000212719	C17orf51	-0.232301194753127
ENSG00000198130	HIBCH	0.2311122629379
ENSG00000185238	PRMT3	-0.209668458417096
ENSG00000198189	HSD17B11	-0.168486434353809
ENSG00000179222	MAGED1	0.146909482780788
ENSG00000122012	SV2C	0.146630673887063
ENSG00000105963	ADAP1	0.137136660887043
ENSG00000116791	CRYZ	-0.13430934527357
ENSG00000093072	ADA2	0.130098368360667
ENSG00000144230	GPR17	-0.127011003844464
ENSG00000118004	COLEC11	-0.108247937329926
ENSG00000105642	KCNN1	-0.105338053017786
ENSG00000104731	KLHDC4	-0.0936317011522041
ENSG00000114638	UPK1B	-0.0934359900822357
ENSG00000269028	MTRNR2L12	0.0930399741042885
ENSG00000150433	TMEM218	0.0924375540629909
ENSG00000125351	UPF3B	0.0899882772031866
ENSG00000140538	NTRK3	-0.0858451167770976
ENSG00000170545	SMAGP	0.0775747058025818
ENSG00000105193	NA	-0.0767139091067394
ENSG00000123892	RAB38	0.0757539136982911
ENSG00000162576	MXRA8	-0.0710133767360835
ENSG00000152127	MGAT5	0.0703015772923136
ENSG00000140285	FGF7	-0.0702914793539888
ENSG00000036448	MYOM2	0.0674934676123762
ENSG00000144320	LNPK	0.06716045447524
ENSG00000112473	SLC39A7	0.0649121610652082
ENSG00000117262	GPR89A	0.0642799047820974
ENSG00000164695	CHMP4C	0.0618336181137149
ENSG00000251664	PCDHA12	-0.0607324618010719
ENSG00000184900	SUMO3	-0.0605171276371962
ENSG00000065923	SLC9A7	0.060320220005932
ENSG00000172687	ZNF738	-0.0566826641171655
ENSG00000101333	PLCB4	-0.0564764242335523
ENSG00000213741	RPS29	-0.0544784138628606
ENSG00000140105	WARS	0.0543400725476772
ENSG00000152433	NA	-0.0536041241568023
ENSG00000263715	LINC02210-CRHR1	-0.0533890157329456
ENSG00000134516	DOCK2	-0.051268189921407
ENSG00000100473	COCH	0.0503801369426146
ENSG00000133460	SLC2A11	0.0477058203797741
ENSG00000167644	C19orf33	0.0476365156581256
ENSG00000187867	PALM3	0.0474841490369609
ENSG00000109466	KLHL2	-0.0473403864292736
ENSG00000196743	GM2A	0.045979979242494
ENSG00000102904	TSNAXIP1	0.0457673469225643
ENSG00000184451	CCR10	0.0423899895219708
ENSG00000164659	KIAA1324L	-0.0412123081382725
ENSG00000180155	LYNX1	0.0411025040196703
ENSG00000147465	STAR	-0.0405040691702714
ENSG00000172037	LAMB2	0.0402149920534107
ENSG00000071994	PDCD2	-0.0398505018362323
ENSG00000008128	CDK11A	-0.0373127287853435
